ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
12591,Married,Female,30000.0,4.0,Graduate Degree,Clerical,1,0.0,0-1 Miles,Europe,45.0,0
14058,Single,Male,70000.0,0.0,Bachelors,Professional,0,1.0,5-10 Miles,Pacific,41.0,1
23962,Married,Female,10000.0,0.0,Partial High School,Manual,1,2.0,1-2 Miles,Europe,32.0,0
23419,Single,Female,70000.0,5.0,Bachelors,Professional,1,3.0,10+ Miles,Pacific,39.0,0
21940,Married,Male,90000.0,5.0,Graduate Degree,Professional,1,0.0,0-1 Miles,North America,47.0,1
23316,Single,Male,30000.0,3.0,Partial College,Clerical,0,2.0,1-2 Miles,Pacific,59.0,1
13351,Single,Female,70000.0,4.0,Bachelors,Management,1,2.0,1-2 Miles,North America,62.0,1
24107,Married,Male,30000.0,3.0,Partial College,Clerical,1,1.0,0-1 Miles,Europe,43.0,0
18153,Married,Female,100000.0,2.0,Bachelors,Management,1,4.0,10+ Miles,Europe,59.0,0
21613,Single,Male,50000.0,2.0,Bachelors,Skilled Manual,0,1.0,0-1 Miles,North America,39.0,1
18607,Single,Female,60000.0,4.0,Bachelors,Skilled Manual,1,2.0,2-5 Miles,North America,42.0,1
26818,Single,Male,10000.0,3.0,High School,Manual,1,1.0,0-1 Miles,Europe,39.0,1
15382,Married,Female,110000.0,1.0,Bachelors,Management,1,2.0,1-2 Miles,North America,44.0,0
11270,Married,Male,130000.0,2.0,Graduate Degree,Management,1,3.0,0-1 Miles,North America,42.0,1
28758,Married,Male,40000.0,2.0,Partial College,Clerical,1,1.0,1-2 Miles,Europe,35.0,1
29048,Single,Male,110000.0,2.0,Bachelors,Management,0,3.0,0-1 Miles,North America,37.0,1
12033,Single,Female,40000.0,0.0,High School,Skilled Manual,0,2.0,0-1 Miles,North America,27.0,1
16791,Single,Male,60000.0,5.0,Bachelors,Management,1,3.0,10+ Miles,North America,59.0,1
28436,Single,Male,30000.0,0.0,Partial College,Clerical,0,1.0,0-1 Miles,Europe,30.0,1
28269,Single,Female,130000.0,1.0,Bachelors,Management,0,1.0,2-5 Miles,North America,45.0,0
24065,Single,Female,20000.0,0.0,High School,Manual,1,0.0,0-1 Miles,Europe,40.0,1
25148,Married,Male,60000.0,2.0,High School,Professional,0,2.0,1-2 Miles,North America,48.0,1
26693,Married,Male,70000.0,3.0,Partial College,Professional,1,1.0,5-10 Miles,North America,49.0,0
25460,Married,Female,20000.0,2.0,High School,Manual,1,0.0,0-1 Miles,Europe,40.0,1
22220,Married,Male,60000.0,2.0,High School,Professional,0,2.0,1-2 Miles,North America,49.0,1
17197,Single,Female,90000.0,5.0,Partial College,Professional,1,2.0,10+ Miles,Europe,62.0,0
14554,Married,Male,20000.0,1.0,Bachelors,Clerical,1,0.0,0-1 Miles,Europe,66.0,0
17203,Married,Female,130000.0,4.0,Partial College,Professional,1,4.0,5-10 Miles,Europe,61.0,1
11663,Married,Male,70000.0,4.0,Graduate Degree,Professional,1,0.0,0-1 Miles,North America,36.0,1
26796,Single,Male,40000.0,2.0,Bachelors,Management,1,2.0,5-10 Miles,Pacific,65.0,1
20380,Married,Female,60000.0,3.0,Graduate Degree,Management,1,2.0,10+ Miles,North America,69.0,0
11165,Married,Female,60000.0,0.0,Partial College,Skilled Manual,0,1.0,1-2 Miles,North America,33.0,0
17541,Married,Female,40000.0,4.0,High School,Skilled Manual,1,2.0,2-5 Miles,North America,43.0,0
28228,Single,Female,80000.0,2.0,Partial High School,Skilled Manual,0,2.0,1-2 Miles,North America,50.0,0
26270,Single,Female,20000.0,2.0,Partial High School,Clerical,1,2.0,1-2 Miles,North America,49.0,0
17337,Single,Male,40000.0,0.0,High School,Skilled Manual,1,1.0,5-10 Miles,North America,31.0,0
17703,Married,Female,10000.0,1.0,Graduate Degree,Manual,1,0.0,0-1 Miles,Europe,40.0,0
11434,Married,Male,170000.0,5.0,Partial College,Professional,1,0.0,0-1 Miles,Europe,55.0,0
20598,Married,Male,100000.0,3.0,Partial High School,Professional,1,0.0,10+ Miles,Europe,59.0,1
18594,Single,Female,80000.0,3.0,Bachelors,Skilled Manual,1,3.0,10+ Miles,North America,40.0,1
13826,Single,Female,30000.0,0.0,Partial College,Clerical,0,1.0,0-1 Miles,Europe,28.0,0
19661,Single,Male,90000.0,4.0,Bachelors,Management,1,1.0,1-2 Miles,North America,38.0,1
14189,Married,Female,90000.0,4.0,High School,Professional,0,2.0,2-5 Miles,Europe,54.0,1
25792,Single,Female,110000.0,3.0,Bachelors,Management,1,4.0,10+ Miles,Europe,53.0,0
27994,Married,Female,40000.0,4.0,High School,Professional,1,2.0,5-10 Miles,North America,69.0,0
13453,Married,Female,130000.0,0.0,Bachelors,Management,1,3.0,0-1 Miles,North America,45.0,1
15814,Single,Female,40000.0,0.0,High School,Skilled Manual,1,1.0,5-10 Miles,North America,30.0,0
23818,Married,Female,50000.0,0.0,Graduate Degree,Skilled Manual,1,0.0,1-2 Miles,North America,33.0,1
17450,Married,Male,80000.0,5.0,Partial College,Professional,1,3.0,5-10 Miles,North America,45.0,0
23608,Married,Female,150000.0,3.0,High School,Professional,1,3.0,0-1 Miles,Europe,51.0,1
22976,Single,Male,40000.0,0.0,High School,Skilled Manual,0,2.0,0-1 Miles,North America,28.0,1
23780,Single,Male,40000.0,2.0,Partial College,Clerical,0,2.0,0-1 Miles,Europe,36.0,1
21441,Married,Male,50000.0,4.0,Bachelors,Management,1,2.0,10+ Miles,North America,64.0,0
15608,Single,Female,30000.0,0.0,Partial College,Clerical,0,1.0,2-5 Miles,Europe,33.0,0
14332,Single,Female,30000.0,0.0,High School,Skilled Manual,0,2.0,5-10 Miles,North America,26.0,0
18572,Married,Female,60000.0,0.0,Graduate Degree,Professional,1,0.0,0-1 Miles,North America,39.0,0
17048,Single,Female,90000.0,1.0,Graduate Degree,Management,1,0.0,0-1 Miles,Pacific,36.0,1
20598,Married,Male,100000.0,3.0,Partial High School,Professional,1,0.0,10+ Miles,Europe,59.0,1
26576,Married,Female,60000.0,0.0,Partial College,Skilled Manual,1,2.0,5-10 Miles,North America,31.0,0
13907,Single,Female,80000.0,3.0,Bachelors,Skilled Manual,1,1.0,0-1 Miles,North America,41.0,1
19562,Single,Female,60000.0,2.0,Bachelors,Professional,1,1.0,2-5 Miles,Pacific,37.0,1
22610,Married,Male,30000.0,0.0,Bachelors,Clerical,1,0.0,0-1 Miles,Europe,35.0,1
12344,Single,Female,80000.0,0.0,Bachelors,Professional,0,3.0,10+ Miles,Pacific,31.0,0
20000,Married,Male,60000.0,1.0,Graduate Degree,Professional,1,0.0,0-1 Miles,North America,35.0,1
14193,Single,Female,100000.0,3.0,Partial College,Management,1,4.0,10+ Miles,Europe,56.0,0
20053,Single,Male,40000.0,2.0,Partial College,Clerical,1,0.0,0-1 Miles,Europe,34.0,0
21557,Single,Female,110000.0,0.0,Partial College,Management,1,3.0,10+ Miles,Pacific,32.0,1
18012,Married,Female,40000.0,1.0,Bachelors,Skilled Manual,1,0.0,0-1 Miles,Europe,41.0,0
23801,Married,Female,20000.0,2.0,Partial High School,Clerical,1,2.0,0-1 Miles,North America,49.0,0
25329,Single,Female,40000.0,3.0,Partial College,Clerical,0,2.0,0-1 Miles,North America,32.0,0
27878,Single,Male,20000.0,0.0,Partial College,Manual,0,0.0,0-1 Miles,Pacific,28.0,1
21006,Single,Female,56419.95172968624,1.0,Partial College,Manual,0,0.0,0-1 Miles,Europe,46.0,1
29133,Single,Female,60000.0,4.0,Bachelors,Skilled Manual,0,2.0,0-1 Miles,North America,42.0,0
28858,Single,Male,80000.0,3.0,Bachelors,Skilled Manual,1,0.0,2-5 Miles,North America,40.0,0
18267,Married,Male,60000.0,3.0,Bachelors,Professional,1,2.0,5-10 Miles,Pacific,43.0,0
14872,Married,Male,30000.0,0.0,Graduate Degree,Skilled Manual,1,0.0,0-1 Miles,North America,32.0,0
11453,Single,Male,80000.0,0.0,Bachelors,Professional,0,3.0,10+ Miles,Pacific,33.0,1
29112,Single,Male,60000.0,0.0,Partial College,Professional,0,2.0,1-2 Miles,North America,30.0,0
20897,Married,Female,30000.0,1.0,Bachelors,Skilled Manual,1,2.0,0-1 Miles,Europe,40.0,0
26415,Married,Female,90000.0,4.0,Partial High School,Skilled Manual,1,4.0,10+ Miles,Europe,58.0,0
22170,Married,Female,30000.0,3.0,Partial College,Clerical,0,2.0,1-2 Miles,Pacific,55.0,1
26678,Single,Female,80000.0,2.0,Partial High School,Skilled Manual,1,2.0,5-10 Miles,North America,49.0,0
17522,Married,Male,120000.0,4.0,Bachelors,Management,1,1.0,2-5 Miles,Pacific,47.0,0
24093,Single,Female,80000.0,0.0,Graduate Degree,Skilled Manual,0,0.0,0-1 Miles,Europe,40.0,1
17650,Single,Female,40000.0,2.0,Partial College,Clerical,1,2.0,1-2 Miles,Europe,35.0,0
